,High,Low,Open,Close,Volume,Adj Close,Date_copy,STOCHFk_14,STOCHFd_3,STOCHk_5,STOCHd_3,STOCHFk_98,STOCHFd_21,STOCHk_35,STOCHd_21,STOCHFk_420,STOCHFd_90,STOCHk_150,STOCHd_90,hd_slowave,sto_diff,riz,riz_sto,ticker,companyshortname,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
2015-09-11,68.97000122070312,67.83000183105469,68.2300033569336,68.91000366210938,1681600,68.91000366210938,2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,69.05000305175781,68.12999725341797,68.86000061035156,68.3499984741211,1682800,68.3499984741211,2015-09-14,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2015-09-15,69.66000366210938,68.30999755859375,68.38999938964844,69.37999725341797,1729000,69.37999725341797,2015-09-15,,,,,,,,,,,,,,,78.62577859054365,,,,,,,,,,
2015-09-16,70.41999816894531,69.08999633789062,69.70999908447266,70.27999877929688,2184200,70.27999877929688,2015-09-16,,,,,,,,,,,,,,,90.99671396802773,,,,,,,,,,
2015-09-17,71.98999786376953,69.87000274658203,70.22000122070312,71.05999755859375,2263900,71.05999755859375,2015-09-17,77.64420211312422,,,,,,,,,,,,,,95.50557601014478,,,,,,,,,,
2015-09-18,71.22000122070312,69.75,70.3499984741211,70.06999969482422,3503100,70.06999969482422,2015-09-18,50.25912265929818,,,,,,,,,,,,,,42.04950054362873,,,,,,,,,,
2015-09-21,71.61000061035156,70.05999755859375,70.41000366210938,70.58000183105469,2078200,70.58000183105469,2015-09-21,61.68489359276037,63.196072788394254,,,,,,,,,,,,,63.245273908225386,,,,,,,,,,
2015-09-22,70.2699966430664,68.22000122070312,69.55000305175781,68.69000244140625,2412500,68.69000244140625,2015-09-22,12.466886981650987,41.47030107790318,,,,,,,,,,,,,17.043159345379678,,,,,,,,,,
2015-09-23,69.77999877929688,68.58999633789062,68.8499984741211,69.45999908447266,2862100,69.45999908447266,2015-09-23,32.891219307849376,35.680999960753574,46.98926493093663,,,,,,,,,,,,47.997214200587095,,,,,,,,,,
2015-09-24,69.27999877929688,67.66999816894531,68.86000061035156,68.80999755859375,2113400,68.80999755859375,2015-09-24,28.93397673229749,24.764027673932606,37.24721985477129,,,,,,,,,,,,29.44665902782039,,,,,,,,,,
2015-09-25,70.83000183105469,68.97000122070312,69.97000122070312,69.48999786376953,2800400,69.48999786376953,2015-09-25,46.19285703220609,36.00601769078431,36.43396672935287,40.223483838353594,,,,,,,,,,,60.991360071991224,,,,,,,,,,
2015-09-28,69.22000122070312,65.94999694824219,68.94999694824219,66.45999908447266,2622300,66.45999908447266,2015-09-28,10.450852990469519,28.52589558499102,26.1871586088947,33.28944839767295,,,,,,,,,,,12.236241585335584,,,,,,,,,,
2015-09-29,67.36000061035156,65.55000305175781,67.0,66.0,2251900,66.0,2015-09-29,8.522671444672428,21.722127155782662,25.398315501498985,29.33981361324885,,,,,,,,,,,9.846378885661881,,,,,,,,,,
2015-09-30,67.87000274658203,66.48999786376953,66.80999755859375,67.75,2394000,67.75,2015-09-30,41.66661850128602,20.2133809788093,27.153395340186314,26.246289816859996,,,,,,,,,,,63.73632747849088,,,,,,,,,,
2015-10-01,68.04000091552734,66.44000244140625,68.04000091552734,67.19999694824219,2915900,67.19999694824219,2015-10-01,31.249891627893536,27.146393857950642,27.616578319305525,26.722763053663602,,,,,,,,,,,46.3289281313681,,,,,,,,,,
2015-10-02,66.5,64.83999633789062,66.36000061035156,66.48999786376953,3047600,66.48999786376953,2015-10-02,37.671225718346754,36.86257861584209,25.912252056533656,26.89407523867516,,,,,,,,,,,27.170311174560037,,,,,,,,,,
2015-10-05,68.0999984741211,66.97000122070312,67.33000183105469,67.58999633789062,2736900,67.58999633789062,2015-10-05,84.35577294375081,51.092296763330346,40.69323604718992,31.407355474343035,,,,,,,,,,,68.07640393049614,,,,,,,,,,
